Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
415,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,90,109,82.6,1637
416,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13,117,152,77,1620
417,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,8.7,103,141,73,1603
418,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,110,150,73.3,1584
419,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.9,100,156,64.1,1581
420,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,8.1,115,151,76.2,1575
421,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,102,155,65.8,1520
422,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,86,106,81.1,1516
423,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,4.5,82,105,78.1,1452
424,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,92,131,70.2,1435
425,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,6.7,97,126,77,1435
426,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,112,144,77.8,1435
427,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,89,161,55.3,1410
428,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,73,98,74.5,1408
429,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.8,102,134,76.1,1402
430,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,72,90,80,1391
431,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,79,89,88.8,1388
432,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,60,81,74.1,1315
433,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,8.7,96,131,73.3,1285
434,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.1,72,109,66.1,1280
435,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,64,72,88.9,1266
436,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,59,67,88.1,1266
437,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2,22,40,55,1244
438,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,86,138,62.3,1242
439,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,59,74,79.7,1224
440,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,70,100,70,1208
441,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.4,84,139,60.4,1170
442,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,66,82,80.5,1160
443,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9,100,136,73.5,1114
444,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,62,73,84.9,1076
445,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.1,72,83,86.7,1039
446,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,53,60,88.3,1027
447,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,2,52,93,55.9,976
448,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,2.9,68,96,70.8,970
449,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1,60,73,82.2,958
450,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2,19,48,39.6,946
451,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,58,77,75.3,935
452,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,51,64,79.7,887
453,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,61,73,83.6,842
454,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,31,51,60.8,826
455,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,45,55,81.8,821
456,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,1.2,54,67,80.6,815
457,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,50,67,74.6,779
458,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,61,76,80.3,776
459,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,37,55,67.3,747
460,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,35,49,71.4,698
461,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1,23,32,71.9,692
462,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,40,51,78.4,576
463,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,42,62,67.7,569
464,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.7,27,29,93.1,506
465,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,38,56,67.9,487
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2,29,47,61.7,462
467,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,29,44,65.9,440
468,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,24,35,68.6,427
469,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.4,32,42,76.2,408
470,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,30,36,83.3,391
471,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,26,31,83.9,390
472,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,18,19,94.7,382
473,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,17,22,77.3,329
474,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,19,22,86.4,312
475,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,19,30,63.3,307
476,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,18,31,58.1,282
